district,school_name,poa_school_net,school_website,school_type_1,school_type_2,student_gender,religion,school_size,medium_of_instruction,through_train_sec_school,feeder_sec_school,nominated_sec_school,school_bus,nanny_van,fac_no_of_classroom,fac_no_of_school_hall,fac_no_of_playground,fac_no_of_library,fac_special_rooms,fac_support_for_specialedu,previous_year_tsi_no_of_approved_teaching_posts,previous_year_tsi_total_no_of_teachers,previous_year_tsi_percent_of_received_teacher_training,previous_year_tsi_percent_of_bacherlor,previous_year_tsi_percent_of_master_doctorate_or_above,previous_year_tsi_percent_of_special_edu_training,previous_year_tsi_percent_of_exp_0_4,previous_year_tsi_percent_of_exp_5_9,previous_year_tsi_percent_of_exp_10_or_above,previous_year_no_of_class_p1,previous_year_no_of_class_p2,previous_year_no_of_class_p3,previous_year_no_of_class_p4,previous_year_no_of_class_p5,previous_year_no_of_class_p6,previous_year_no_of_class_total,current_year_no_of_class_p1,current_year_no_of_class_p2,current_year_no_of_class_p3,current_year_no_of_class_p4,current_year_no_of_class_p5,current_year_no_of_class_p6,current_year_no_of_class_total,no_of_test_per_year_P1,no_of_exam_per_year_P1,replace_test_exam_P1,no_of_test_per_year_P2-P6,no_of_exam_P2-P6,upload_school_assessment_policy_to_school_web,upload_school_assignment_policy_to_school_web,school_starts_at,school_starts_at_AMPM,school_ends_at,school_ends_at_AMPM,school_major_concerns
Yuen Long,HKFYG Lee Shau Kee Primary School,72,http://www.lskps.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,7000,Chinese(incl.: Putonghua) and English,-,-,-,-,Yes,30,1,2,1,"LEAD LAB I & II, Maker Room, Library, Reading Wonderland, General Studies Room, Music Room, Visual Arts Room, LSK STUDIO, etc.","Accessible lift, Accessible toilet, Tactile guide path and Accessible public information / service counter.",56,63,94,98,42,64,37,32,31,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,0,Yes,0,2,Yes,Yes,7:55,AM,3:05,PM,"To provide free quality education, promote an enjoyable and effective learning atmosphere. To focus on developing students' language development and creativity. To focus on life education and STEAM education. To cultivate students' multiple intelligence and to educate them to be responsible self-directed learners."
Yuen Long,Ho Ming Primary School (Sponsored by Sik Sik Yuen),72,http://www.homing.edu.hk,Aided,Whole Day,Co-ed,Others,4630,Chinese(incl.: Putonghua) and English,-,-,-,Yes,Yes,27,1,2,1,"Student Activity Room, CoolThink Studio, English Room, Computer Room, Sik Sik Yuen Greater Bay Area AI & STEAM Education Hub, i-bike Fitness Training Centre, Visual Art Room, Smart Hydroponics Greenhouse, Remedial Learning Room and Speech Therapy Room.","Ramp, Accessible lift, Accessible toilet and Tactile guide path plan.",32,35,91,97,43,58,23,20,57,1,2,3,3,3,3,15,2,1,2,3,3,3,14,0,0,Yes,0,3,Yes,Yes,8:10,AM,3:30,PM,"1. Cultivate students' correct values and equip them with a positive attitude to face opportunities and challenges in their growth.<br>2. Deepen self-directed learning strategies, enhance students' self-directed learning capabilities, and cultivate students to become more proactive self-directed learners.  <br>3. Explore students' leadership potential, embrace the future with enthusiasm, and become self-confident individuals."
Yuen Long,Christian Pui Yan Primary School,72,http://www.cpyps.edu.hk/,Aided,Whole Day,Co-ed,Protestantism / Christianity,6100,Chinese & English,-,-,-,-,Yes,30,1,3,1,"Library, English Room, Immersive Classroom, somatosensory motion room, eLab@STEM, Campus TV, Cooking Studio, Kimochi Room,Pui Yan Me-Time Zone<br><br>",Accessible lift and Accessible toilet.,33,36,83,100,47,28,11,36,53,3,3,2,2,3,3,16,2,3,3,2,2,3,15,0,1,Yes,0,3,Yes,Yes,8:40,AM,3:20,PM,"1. Love learning, Be expressive, excellent confidence.<br>2. Be a positive thinker"
Yuen Long,Lions Clubs International Ho Tak Sum Primary School,72,http://www.htsps.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,6200,Chinese,-,-,-,Yes,Yes,31,1,4,1,"English Room, English Zone, General Studies & STEM Activity Room, STEM Exhibition Room, Econ Room, Library, Game Room, Music Room, Visual Arts Room","Ramp, Accessible lift, Accessible toilet, Tactile guide path and Accessible public information / service counter.",50,57,84,100,38,46,48,29,23,3,4,5,4,5,5,26,4,3,4,5,4,5,25,0,0,Yes,2,2,Yes,Yes,8:00,AM,,Please see remarks,"Our School is an arena for development of potential, an environment for pursuit of excellence, culture of care, appreciation and encouragement.<br>Please refer to the school website."
Yuen Long,Lok Sin Tong Leung Kau Kui Primary School,72,http://www.lst-lkkps.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,5060,Chinese(incl.: Putonghua) and English,-,-,-,-,Yes,30,1,3,1,"English Room, Student Activities Centre, Audio Visual Room, General Studies Room, Computer Room, Music Room, Library, Put Lee STEAM InnoTech Lab, Visual Art Room, Synthetic Ice Rink. ","Ramp, Accessible lift, Accessible toilet and Accessible public information / service counter.",56,58,98,100,27,58,17,16,67,5,5,5,5,5,5,30,5,5,5,5,5,5,30,1,1,Yes,2,2,Yes,Yes,8:00,AM,3:20,PM,A new chapter of learning towards whole person development.
Yuen Long,Q.E.S. Old Students' Association Branch Primary School,72,http://www.qbps.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,7000,Chinese,-,-,-,Yes,-,30,1,4,1,"English Room, STEAM Room, Multi-Purpose Learning Room, Counseling Room, Student Activity Centre, Campus TV Station, E+ Art Gallery, Music Room, Multi-Sensory Learning Room, Future Lab",Accessible lift and Accessible toilet.,55,59,92,100,24,69,24,29,47,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,0,Yes,1,2,Yes,Yes,8:10,AM,3:15,PM,"1. Cultivate students to become self-directed learners with a positive mindset to enhance learning efficiency. <br>2. Foster in students correct values and a healthy lifestyle attitude, enabling them to face growth challenges positively."
Yuen Long,Q.E.S. Old Students' Association Primary School,72,http://www.qesosaps.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,7800,Chinese,-,-,-,Yes,-,30,1,2,1,"STEM room, 2 English rooms, computer room, 2 music rooms, visual art room, pottery studio ,2 remedial teaching rooms, multi-purpose room and counselling room, campus TV.",Ramp and Accessible lift.,56,60,100,97,19,51,17,20,63,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,0,Yes,0,2,Yes,Yes,8:00,AM,3:30,PM,"Enhance students' self-directed learning abilities and generic skills, and strengthen their learning confidence.<br>Develop students' correct values and the practice of a healthy lifestyle."
Yuen Long,S.K.H. Tin Shui Wai Ling Oi Primary School,72,https://www.skhtswlo.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,6280,Chinese,-,-,-,-,Yes,32,1,2,1,"Conference Room, Social Worker Room, Small Group Teaching Rooms, Emmanuel Room, Dancing Room, Covered Playground, Playground, Hall, Computer Room, Music Room, STEAM Room, Visual Arts Room, General Studies Room, The Way, Library, Language Room, Annex Block","Accessible lift, Accessible toilet and Accessible public information / service counter.",52,54,100,100,40,75,0,22,78,3,4,5,5,5,5,27,2,3,4,5,5,5,24,0,1,Yes,0,2,Yes,Yes,8:00,AM,3:20,PM,"We strive to optimize teaching and learning strategies in order to enhance students’ learning capabilities. We continue to cultivate students’21st century generic skills.<br>We continuously promote positive education, strengthen students’ values, and enhance their sense of well-being."
Yuen Long,TWGHs Leo Tung-hai LEE Primary School,72,http://www.twghlthlp.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,7000,Chinese,-,-,-,-,Yes,30,1,4,1,"General Studies Room, Student Activity Centre, Music Room, Arts Room, STEAM Room, Remedial Teaching Room, Chin. Eng. Maths Rooms, Distance Learning Centre, Maker Space, Cool Think @ J C Studio and Dream Works.","Accessible lift, Accessible toilet and Accessible public information / service counter.",29,31,100,100,24,75,6,13,81,2,2,2,2,3,3,14,2,2,2,2,2,3,13,0,0,Yes,0,3,Yes,No,8:15,AM,3:30,PM,"1. Further promote self-directed learning, cultivate students' good learning habits and strategies, and enhance the effectiveness of teaching and learning. <br>2. Develop values education, promote a positive school culture, and establish students' active and positive values."
Yuen Long,TWGHs Yiu Dak Chi Memorial Primary School (Yuen Long),72,http://www.ydc.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,5000,Chinese,-,-,-,-,Yes,30,1,2,1,"Inno Space, Immersive Classroom, Creative Centre, Board Game Room, School Campus TV, Student's Activity Room, Library, Music Room, Art room, Conference Room, Archive Room, English Room, Positive Paradise.","Ramp, Accessible lift and Accessible toilet.",33,40,90,75,25,36,15,25,60,1,2,3,2,4,4,16,1,1,2,3,2,4,13,0,2,Yes,0,3,Yes,Yes,8:05,AM,3:15,PM,"1. Inspire students' learning motivation, cater for students' diversity, guide students to become enthusiastic learners.<br>2. Unleash students' potential, create spaces for students to showcase their talents.<br>3. Focus on values education, sustain a positive campus culture, cultivate students' patriotism and correct values."
Yuen Long,Tin Shui Wai Catholic Primary School,72,https://www.tswcps.edu.hk,Aided,Whole Day,Co-ed,Catholicism,5600,Chinese,-,-,"Shung Tak Catholic English College, <br>Pui Shing Catholic Secondary School",Yes,-,30,1,3,1,"Prayer Room, Multi-Media Computer Rooms, Multi-purpose Activity Centre, Guidance Room, Reading Jungle, Moral & Civic Education Resource Centre, Music Rooms & Visual Arts Rooms etc.","Ramp, Accessible lift and Accessible toilet.",55,58,100,99,28,36,23,22,55,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,2,Yes,0,3,No,No,8:15,AM,3:30,PM,1. More activities are organised in the whole-day school to enrich students' learning experiences.<br>2. To instil moral values and attitude towards life in students.
Yuen Long,Tin Shui Wai Government Primary School,72,http://www.tswgps.edu.hk,Gov't,Whole Day,Co-ed,Not Applicable,6200,Chinese,-,-,"Chiu Lut Sau Memorial Secondary School, <br>Yuen Long Public Secondary School, <br>Tin Shui Wai Government Secondary School",Yes,-,30,1,2,1,"Music Room, Computer Room, Art Room, Chinese Culture Room, Science Room, English Room, Campus TV Station, STEM Room, Remedial Teaching Room, Dancing Room.","Ramp, Accessible lift, Accessible toilet and Accessible public information / service counter.",53,55,100,60,40,85,9,13,78,5,5,5,5,5,5,30,5,5,5,5,5,5,30,1,1,Yes,1,2,Yes,Yes,8:15,AM,3:20,PM,1. To boost students' generic skills through multiple learning experience.<br>2. To cultivate positive values by fostering values education for whole-person development.
Yuen Long,Y.L.P.M.S. Alumni Association Tang Ying Yip Primary School,72,http://www.tyyps.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,6200,Chinese,-,-,YLPMSAA Tang Siu Tong Secondary School,Yes,Yes,30,1,4,1,"Including a STEAM room(IN HUB), Campus TV, small group teaching rooms, computer rooms, ""Wetland Zone"", ""Chinese Culture Corner"", an English learning centre, a PTA resources centre and an alumni room.","Accessible lift, Accessible toilet, Braille and tactile floor plan and Tactile guide path plan.",53,62,84,98,34,40,39,19,42,4,4,5,5,5,5,28,3,4,4,5,5,5,26,0,1,Yes,0,3,Yes,Yes,8:10,AM,3:25,PM,"Help students to develop self-directed learning habit and inquisitiveness aided with e-learning and learning strategies and by introduction of intensive participation and presentation pattern. Optimise life education curriculum and promote Chinese Culture. Create loving environment by constructing classroom culture. Inspire students' multi-talents by investments in sports, arts, scientific experiment and dramas development to create vibrant learning atmosphere."
Yuen Long,S.K.H. Ling Oi Primary School,73,http://www.lingoi.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,1771,Chinese(incl.: Putonghua) and English,-,-,-,-,-,12,1,1,1,"Seven special rooms including an English room, a visual art room, a music room, an activity room, two remedial classrooms and an information technology learning centre.","Ramp, Accessible lift and Accessible toilet.",28,36,100,100,36,85,25,6,69,2,2,2,2,2,2,12,2,2,2,2,2,2,12,1,1,Yes,1,2,Yes,Yes,7:45,AM,3:15,PM,1. Implement small-class teaching to enhance the effectiveness of learning and teaching. <br>2. Cultivate a healthy lifestyle to enhance students' resilience.
Yuen Long,Yuen Long Public Middle School Alumni Association Primary School,73,http://www.ylaps.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,5000,Chinese,-,-,Yuen Long Public Middle School Alumni Association Tang Siu Tong Secondary School,Yes,Yes,24,1,2,1,"11 special rooms: Art Room, Music Room, STEM Room, English Room, Theatre, General Studies Room, IT Room, PE Room, Medical Room, two student guidance and counselling rooms.",-,46,50,100,100,20,82,14,32,54,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,0,Yes,0,3,Yes,Yes,8:00,AM,3:05,PM,1. To promote diversified learning to increase students' capabilities of learning which help respond to new challenges in the future.<br>2. To adopt a healthy lifestyle and foster students' whole-person development through continuous cultivation of positive education.
Yuen Long,Buddhist Chan Wing Kan Memorial School,73,http://www.bcwkms.edu.hk,Aided,Whole Day,Co-ed,Buddhism,5400,Chinese,-,-,-,-,Yes,29,1,4,1,"Computer rooms, 4 small group rooms, 2 activity rooms, art room, music room, English reading room, general studies & STEAM room, Chill zone, library and 2 conference rooms.",Accessible lift and Accessible toilet.,49,52,100,100,30,50,2,20,78,4,5,5,4,4,4,26,4,4,5,5,4,4,26,0,2,Yes,0,3,Yes,Yes,8:15,AM,3:35,PM,1. To establish a positive campus through whole school approach. <br>2. To achieve our students' future success by optimizing teaching and learning. 
Yuen Long,Chung Sing School,74,http://www.chungsing.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,6220,Chinese,-,-,-,-,Yes,30,1,3,1,"Language Room, General Studies Room, Visual Arts Room, Music Room, Computer Room, Language Learning Room, PTA Room, Multi-Purpose Center, Historical Relics Exhibition Room, Medical Room.","Accessible lift, Accessible toilet and Tactile guide path plan.",59,60,100,98,31,59,32,17,51,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,2,Yes,0,3,Yes,Yes,8:00,AM,3:30,PM,1. Advancing school-based moral education curricula so as to foster students' moral values.<br>2. Optimizing curriculum in order to enhance the effectiveness of learning and teaching.
Yuen Long,Pat Heung Central Primary School,74,http://www.phcps.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,7200,Chinese & English,-,-,-,-,Yes,13,0,2,1,"Innovative Hub, Music Room, Art Room and 'Comfort' Zone.","Ramp, Accessible toilet, Braille and tactile floor plan, Tactile guide path, Accessible public information / service counter and Visual fire alarm system.",29,34,88,100,59,32,27,32,41,2,2,2,2,3,2,13,2,2,2,2,2,3,13,0,0,Yes,0,3,Yes,Yes,8:45,AM,4:30,PM,"We believe that Positive Education flourishes our lives. We live it, embed it and embrace it. We strive to help students develop their full potential. School is the second home for our teachers, students and parents. We live, learn and laugh together in order to bring our students a wholesome childhood. "
Yuen Long,S.K.H. St. Joseph's Primary School,74,http://www.skhsjs.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,1900,Chinese,-,-,-,-,Yes,14,1,3,1,"AI STEM classrooms, multimedia computer rooms, English rooms, music rooms, visual arts rooms, conference rooms, and PTA rooms.",Accessible lift.,28,30,100,100,16,57,13,30,57,2,2,2,2,2,2,12,2,2,2,2,2,2,12,0,1,Yes,0,3,Yes,Yes,8:00,AM,3:00,PM,1. Make good use of diversified teaching strategies to develop students' inquiry thinking and common abilities.<br>2. Create a healthy campus atmosphere to build students' positive life.
Yuen Long,Tung Tak School,74,http://www.ttsch.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,4500,Chinese,-,-,-,Yes,-,6,1,2,1,"8 in total (a STEAM room, a language room, a music room, a Visual Arts room, a multi-purpose room, a counselling room, and two karaoke rooms)","Ramp, Accessible toilet, Tactile guide path and Accessible public information / service counter.",16,22,82,100,32,67,27,23,50,1,1,1,1,1,1,6,1,1,1,1,1,1,6,0,0,Yes,0,3,Yes,Yes,8:00,AM,3:30,PM,"Our first major concern is to 'establish moral values and nurture positive values in students'. We promote positive culture and gratitude through different activities, such as 'Grateful Moment' and counselling activities. At the same time, we focus on student learning and strengthen learning activities both inside and outside the classroom to create diversified learning experiences and enhance value education."
Yuen Long,Yuen Long Government Primary School,74,http://www.ylgps.edu.hk,Gov't,Whole Day,Co-ed,Not Applicable,5857,Chinese,-,-,"NT Heung Yee Kuk Yuen Long District Secondary School,<br>Chiu Lut Sau Memorial Secondary School,<br>Tin Shui Wai Government Secondary School",-,Yes,30,1,2,1,"InnoWorld, Flight Simulator Training Base, English Funland, Campus TV, IT Room, Science Exploration Centre, Chinese Culture Learning Centre, Library","Ramp, Accessible lift and Accessible toilet.",55,61,100,98,35,78,16,18,66,5,6,5,5,5,4,30,4,5,6,5,5,5,30,0,0,Yes,0,3,No,No,8:15,AM,3:15,PM,"""Fostering Talent through Science and Education, Embracing a Smart Future""<br>1. Continuously enhance students' self-directed learning, technological exploration, AI literacy, and bilingual/trilingual abilities to equip them for future challenges.<br>2. Focus on values education and character development, strengthen students' national identity, and strive to nurture well-rounded and outstanding individuals."
Yuen Long,W F Joseph Lee Primary School,/,http://www.wfjlps.edu.hk,DSS,Whole Day,Co-ed,Not Applicable,7200,Chinese(incl.: Putonghua) and English,-,-,-,Yes,-,30,2,4,1,"9 special rooms (Computer Room, STEM Room, Science Room, 2 Music Rooms, Visual Arts Room, Dance Room, Campus TV Studio & Band Room)","Ramp, Accessible lift, Accessible toilet and Tactile guide path plan.",-,72,90,100,32,35,32,21,47,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,0,Yes,0,2,No,No,7:55,AM,3:00,PM,1. Building students' positive character and values through social and emotional development.<br>2. Achieving learning and teaching excellence through advancement in education technology.<br>3. Serving the community through collaboration with stakeholders and partners.
Yuen Long,Christian Alliance S.Y. Yeh Memorial Primary School,72,http://www.casyymps.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,6200,Chinese(incl.: Putonghua) and English,-,-,-,Yes,-,30,1,3,1,"7 Rooms (Student Activity Room, Multi-sensory Room, STEAM Lab, Science Lab, E-learning Lab, Art Room, and Music Room).",Ramp and Accessible lift.,56,62,92,100,39,74,20,34,46,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,2,Yes,0,3,Yes,Yes,8:00,AM,3:00,PM,"1. Promote the development of cross-curricular reading and learning, and use assessment to enhance teaching and learning effectiveness and generic skills.<br>2. Strengthen the development of STEAM education and cultivate students' media and information literacy.<br>3. Reorganize the school's values, education, and national education to cultivate independent learners who possess moral character and talent."
Yuen Long,S.T.F.A. Wu Mien Tuen Primary School,72,http://www.stfawmtps.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,12580,Chinese,S.T.F.A. Yung Yau College,-,-,Yes,-,30,1,3,1,"English Rooms, Computer Room, CoolThink@JC STUDIO, Dancing Room, Music Rooms, Visual Art Room, Play Room, Room for String Orchestra, Broadcasting Room, MusicLab, Remedial Teaching Room, Student Guidance Room, Student Activity Room.",Accessible lift and Accessible toilet.,55,60,95,100,55,59,21,7,72,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,3,No,0,3,No,Yes,8:15,AM,3:40,PM,(2025-2027)<br>1. Cultivate students' reading ability and interest.<br>2. Promote students' physical and mental health.
Yuen Long,Shap Pat Heung Rural Committee Kung Yik She Primary School,72,http://www.kysps.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,5300,Chinese & English,-,-,-,-,Yes,30,1,4,1,"Campus TV, Library, Chinese Room, English Room, Mathematics Room, General Studies Laboratory, Music Room, Computer Room, Visual Arts Room and Multi-function Rooms.","Accessible lift, Accessible toilet, Tactile guide path and Accessible Handrails.",56,61,90,98,28,49,34,23,43,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,3,Yes,0,3,Yes,Yes,7:55,AM,3:05,PM,(1) Enhancing Students' Self-Directed Learning Skills Through Experiential Learning<br>(2) Promoting students’ health literacy
Yuen Long,Xianggang Putonghua Yanxishe Pri. Sch. of Science and Creativity,72,https://www.xpypssc.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,6185,Chinese(incl.: Putonghua) and English,-,-,-,Yes,Yes,30,1,2,1,"English Room, Music Room, Art Room, Student Activity Centre, Creativity and Science Park, Dream Chasers, Dreamland, General Studies Room, Historical Gallery, Chinese Culture Room and Social Worker's Office.","Ramp, Accessible lift and Accessible toilet.",51,59,100,100,41,41,6,11,83,3,4,5,5,5,5,27,3,3,4,5,5,5,25,1,1,Yes,2,2,Yes,Yes,8:20,AM,3:45,PM,"1. Continuously optimize teaching and learning strategies, cultivate students' ability for independent learning, and enhance learning effectiveness.<br>2. Promote positive education, cultivate students' positive values and co-create a positive campus."
Yuen Long,Kwong Ming Ying Loi School,74,https://www.kmyls.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,7200,Chinese,-,-,-,-,Yes,36,1,4,1,"Two computer rooms, STEM room, a student activity center, a small theater, meeting rooms, English activity room, Visual Arts room, Music room, Science room, Multi-Purpose Activity Room, Counseling and Support Room.",Accessible lift.,66,67,100,100,33,84,5,12,83,7,7,6,5,5,6,36,6,7,7,6,5,5,36,0,3,No,0,3,No,Yes,8:30,AM,3:30,PM,1. Implement national education to enhance students' sense of national identity.<br>2. Create a healthy campus to help students establish a healthy lifestyle.
Yuen Long,L.S.T. Leung Kau Kui Primary School (Branch),72,http://lst-lkkb.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,6200,Chinese & English,-,-,-,-,Yes,30,1,3,1,"AI Space, Library, Multipurpose Room, General Studies Room, Technology Room, Visual Arts and Crafts Room, Recital Centre cum Music Room, TV Broadcast Room, Health and Well-being Hub, English Adventure Land","Ramp, Accessible lift, Accessible toilet, Tactile guide path and Visual fire alarm system.",56,62,95,100,25,56,18,30,52,5,5,5,5,5,5,30,5,5,5,5,5,5,30,0,2,Yes,0,3,Yes,Yes,8:30,AM,3:30,PM,Catering to Students' Diverse Learning Needs to Improve Educational Efficacy and Fostering Well-Being on Campus.
Yuen Long,A.D. & F.D. of POHL Leung Sing Tak School,73,http://www.yuenlonglsts.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,6500,Chinese(incl.: Putonghua),-,-,-,-,Yes,27,1,2,1,"11 rooms (STEAM Room, Sing Tak Informational Technology Centre, English Room, Library, Sing Tak Fun Station, Counselling Room, Botanical Garden, Farming Paradise, Kenny's Sports Park, etc.)",Accessible lift and Accessible toilet.,46,48,96,100,31,58,21,17,62,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,0,Yes,2,1,Yes,Yes,8:15,AM,3:00,PM,1. Strengthen students' national identity<br>2. Enhance students' sense of achievement<br>3. Cultivate proper values in students
Yuen Long,Yuen Long Long Ping Estate Wai Chow School,73,http://www.hzit.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,4000,Chinese,-,-,-,-,Yes,27,1,3,1,"STEM Room, Library, Visual Art Room, Music Room, Activity Room, English Room, Campus TV, Remedial Learning Room, Counselling Room and Learning Supporting Room.","Ramp, Accessible lift and Accessible toilet.",52,64,94,98,27,17,28,25,47,5,4,4,4,5,5,27,4,5,4,4,4,5,26,0,0,Yes,0,3,Yes,Yes,8:15,AM,3:30,PM,"1. To strengthen self-directed learning, facilitate diversified learning and raise pupils’ learning motivation<br>2. To promote values education, nurture good qualities in pupils and practice positive life <br>3. To create school reading atmosphere and raise pupils’ reading motivation"
Yuen Long,Buddhist Wing Yan School,74,http://www.bwys.edu.hk,Aided,Whole Day,Co-ed,Buddhism,5400,Chinese,-,-,-,-,Yes,27,1,2,1,"16 (STEM Room, English Reading Room, Meditation Space, etc.)","Ramp, Accessible lift and Accessible toilet.",52,57,100,97,55,59,19,14,67,4,4,6,5,4,4,27,4,4,4,6,5,4,27,0,2,Yes,0,3,Yes,Yes,8:00,AM,3:20,PM,1. Reading Cultivates Wisdom<br>2. Achievements Build Successful Futures
Yuen Long,HKMLC Wong Chan Sook Ying Memorial School,74,http://www.wcsy.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,4528,Chinese,-,-,-,-,Yes,12,1,2,1,"Small group teaching room, Visual Art Room, Music Room, e-Learning Room, Multi purpose Room.","Ramp, Accessible lift and Accessible toilet.",26,29,100,96,27,92,4,19,77,2,2,2,2,2,2,12,2,2,2,2,2,2,12,1,1,Yes,2,2,Yes,Yes,8:20,AM,3:30,PM,"Develop the potential of each student to enhance students' learning and thinking skills. Cultivate student's learning initiative, decent manner and positive value of life which leads to the whole-person development."
Yuen Long,Kam Tin Mung Yeung Public School,74,http://www.ktmy.edu.hk,Aided,Whole Day,Co-ed,Not Applicable,2000,Chinese,-,-,-,-,Yes,6,0,1,1,"5 rooms (Reading Room, Intensive Remedial classroom, Computer Room, STEAM Room, Speech Therapy Room.)",,17,24,71,96,25,80,33,25,42,1,1,1,1,1,1,6,1,1,1,1,1,1,6,0,2,Yes,0,3,Yes,Yes,8:00,AM,2:55,PM,1. Cultivate students’ spirit and ability of self-directed learning <br>2. Promote positive education continuously and establish a healthy lifestyle 
Yuen Long,Gigamind English Primary School,/,http://www.gigamind.edu.hk,Private,Whole Day,Co-ed,Protestantism / Christianity,5000,English,-,-,-,Yes,Yes,12,1,2,1,"Music Room (1), Computer Room (1), Art Room (1).",,-,21,71,100,52,0,47,29,24,2,2,2,2,2,2,12,2,2,2,2,2,2,12,0,2,No,0,2,No,No,9:00,AM,4:10,PM,"To provide a lively learning environment for developing children's potential.<br>To establish a caring and respectful relationship among children, teaching staff and parents."
Yuen Long,South Yuen Long Government Primary School,73,http://www.sylgps.edu.hk,Gov't,Whole Day,Co-ed,Not Applicable,6289,Chinese,-,-,"NT Heung Yee Kuk Yuen Long District Secondary School, <br>Chiu Lut Sau Memorial Secondary School, <br>Tin Shui Wai Government Secondary School",Yes,Yes,30,1,2,1,"Computer room, Language room, English Activity room, Visual Art room, Music room, General Studies room, Student Activity Center and Remedial Teaching rooms.","Accessible lift, Accessible toilet and Tactile guide path plan.",54,55,100,96,36,59,2,19,79,5,5,5,5,5,5,30,5,5,5,5,5,5,30,2,2,Yes,2,2,Yes,Yes,8:00,AM,3:00,PM,"1. Establish an exemplary school by implementing high-quality management and organizational systems.<br>2. Foster students' curiosity about future and deepen their understanding of science and technology.<br>3. Encourage students to uphold positive values and attitudes, integrating national identity with a global perspective."
Yuen Long,ELCHK Lutheran Academy,/,http://www.luac.edu.hk,DSS,Whole Day,Co-ed,Protestantism / Christianity,9900,English,ELCHK Lutheran Academy,-,-,Yes,-,55,1,3,1,"Space Hub, Incubator Base, Scholar's Plate, Black Box Theatre, Learnopia, Performance & Lecture Theatre, Computer & Multimedia Language Laboratory, I.S. Laboratory, Green Kitchen, Performing Arts Studio, Creative Arts Studio.","Accessible lift, Accessible toilet, Tactile guide path and Accessible public information / service counter.",-,138,85,100,54,8,54,26,20,3,3,3,3,3,3,18,3,3,3,3,3,3,18,0,0,Yes,0,0,No,No,8:45,AM,3:45,PM,1. Nurture wellness in our community through social-emotional learning<br>2. Foster personalised learning to maximise students’ potential in a changing world<br>3. Foster a culture of international-mindedness
Yau Tsim Mong,Methodist School,31,http://www.kmsch.edu.hk,Aided,Whole Day,Co-ed,Protestantism / Christianity,9000,Chinese,-,-,-,Yes,Yes,24,1,3,1,"Small Chapel, General Studies Room (Maker room), Two Computer rooms, Art room, Music room, Language room, Small group rooms, Activity room, etc.","Ramp, Accessible lift and Accessible toilet.",48,48,100,100,44,62,11,18,71,4,4,4,4,4,4,24,4,4,4,4,4,4,24,0,2,Yes,0,3,Yes,Yes,8:00,AM,3:05,PM,"1. Cultivate students' 21st-century skills.<br>2. Foster students' physical, mental, and spiritual well-being."
